VRM,MAKE,MODEL,AGE_GROUP,BODY_TYPE,FUEL_TYPE,TRANSMISSION_TYPE,COLOUR,PRICE,MILEAGE,RETAIL_DESIRABILITY_SCORE,PASSENGERS
CK22RVP,VOLKSWAGEN,GOLF,3-4 years old,hatchback,DIESEL,semiAutomatic,RED,24000,36783,0.8416905094,5
BL67YYE,RENAULT,CAPTUR,7-8 years old,suv,DIESEL,manual,BLUE,7500,72834,0.5776494622,8
SL68FVR,MERCEDES-BENZ,GLA,5-6 years old,suv,PETROL,manual,WHITE,14600,54860,0.5332565728,8
KO18UTK,VAUXHALL,MOKKA X,5-6 years old,suv,PETROL,manual,RED,10600,23053,0.7158333313,8
FT68HZV,HONDA,JAZZ,5-6 years old,hatchback,PETROL,automatic,SILVER,12400,36306,0.5530733146,5
DA68UGT,SEAT,ARONA,5-6 years old,suv,PETROL,manual,BLACK,11850,42407,0.6631457598,8
AE72XBB,AUDI,A5,0-2 years old,coupe,PETROL,semiAutomatic,BLUE,23750,37794,0.4451177703,4
KW19NGO,FORD,KUGA,5-6 years old,suv,PETROL,automatic,GREY,13600,40903,0.7154697746,8
YT18CXU,LAND ROVER,DISCOVERY,7-8 years old,suv,DIESEL,automatic,BLACK,28500,41597,0.5377402118,8
WM67MCL,VAUXHALL,CORSA,3-4 years old,hatchback,PETROL,manual,BLUE,9650,38916,0.7692563879,5
KW21UDH,AUDI,A4,3-4 years old,saloon,DIESEL,semiAutomatic,BLUE,23550,27330,0.6062106403,5
